"filename", "language", "JSON", "TypeScript", "XML", "JavaScript", "JSON with Comments", "HTML", "C#", "Python", "TypeScript JSX", "PostCSS", "YAML", "C", "C++", "comment", "blank", "total"
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\HydroScan\templates\index.html", "HTML", 0, 0, 0, 0, 0, 386, 0, 0, 0, 0, 0, 0, 0, 27, 32, 445
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-3d-viewer\backend\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 7, 47
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-3d-viewer\backend\parser.py", "Python", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 14, 13, 65
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-3d-viewer\backend\server.py", "Python", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 10, 9, 80
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-3d-viewer\backend\tailer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 12, 8, 55
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-3d-viewer\frontend\app.js", "JavaScript", 0, 0, 0, 471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 114, 633
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-3d-viewer\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 16, 128
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\index.html", "HTML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\package-lock.json", "JSON", 2838, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2839
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\package.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\postcss.config.cjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\app\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 1, 11
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\app\gateway\client\GatewayClient.ts", "TypeScript", 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 235
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\app\gateway\client\createGatewayWebSocket.ts", "TypeScript", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 147
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\app\gateway\client\useGatewayConnection.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 98
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\app\gateway\dispatchGatewayMessage.ts", "TypeScript", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33, 190
"c:\Users\TunahanDELİSALİHOĞLU\Desktop\Hydronom\hydronom-ops\apps\hydronom-web\src\app\gateway\startMockGatewayStream.ts", "TypeScript", 0, 424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 442
